ph,temperature,tds,turbidity
10.03,29.19,0,178.22
10.05,29.19,0,160.99
10.02,29.19,0,166.74
10.02,29.19,0,166.74
10.02,29.25,0,178.22
10.03,29.25,0,158.11
10.05,29.25,0,163.86
10.02,29.25,0,183.95
10.01,29.25,0,178.22
10.04,29.31,0,181.09
10.03,29.31,0,181.09
10.04,29.31,0,158.11
10.02,29.31,0,158.11
10.01,29.31,0,166.74
10.01,29.37,0,166.74
10.07,29.31,0,183.95
10.07,29.37,0,158.11
10.07,29.31,0,206.83
10.06,29.37,0,209.68
10.04,29.37,0,215.38
10.07,29.37,0,201.12
10.02,29.69,0,152.35
10.01,29.63,0,158.11
10.01,29.63,0,158.11
10.03,29.69,0,152.35
10.01,29.75,0,152.35
10.04,29.69,0,152.35
10.01,29.69,0,158.11
10.01,29.69,0,152.35
10.02,29.69,0,163.86
10.0,29.69,0,172.48
10.01,29.75,0,163.86
10.31,32.69,0,344.91
10.24,32.69,0,342.13
10.38,32.69,0,333.77
10.27,32.75,0,333.77
10.22,32.81,0,255.13
10.35,32.75,0,277.71
10.22,32.75,0,305.81
10.36,32.75,0,314.22
10.22,32.81,0,336.56
10.21,32.81,0,333.77
10.24,32.88,0,336.56
10.29,32.81,0,333.77
10.35,32.81,0,353.25
10.21,32.81,0,344.91
10.19,32.88,0,333.77
10.3,32.88,0,364.35
